estado,municipio,municipio_cod,zona,secao,candidato_13,candidato_22
am,BOCA DO ACRE,2151,14,1,104,75
am,BOCA DO ACRE,2151,14,2,74,89
am,BOCA DO ACRE,2151,14,3,97,78
am,BOCA DO ACRE,2151,14,4,168,144
am,BOCA DO ACRE,2151,14,5,141,163
am,BOCA DO ACRE,2151,14,6,143,184
am,BOCA DO ACRE,2151,14,7,140,180
am,BOCA DO ACRE,2151,14,8,115,112
am,BOCA DO ACRE,2151,14,9,135,109
am,BOCA DO ACRE,2151,14,10,107,98
am,BOCA DO ACRE,2151,14,11,82,75
am,BOCA DO ACRE,2151,14,12,68,77
am,BOCA DO ACRE,2151,14,13,79,78
am,BOCA DO ACRE,2151,14,14,130,110
am,BOCA DO ACRE,2151,14,15,120,105
am,BOCA DO ACRE,2151,14,16,138,95
am,BOCA DO ACRE,2151,14,17,89,156
am,BOCA DO ACRE,2151,14,18,85,163
am,BOCA DO ACRE,2151,14,19,90,153
am,BOCA DO ACRE,2151,14,20,87,167
am,BOCA DO ACRE,2151,14,21,126,108
am,BOCA DO ACRE,2151,14,22,106,66
am,BOCA DO ACRE,2151,14,23,82,159
am,BOCA DO ACRE,2151,14,24,95,167
am,BOCA DO ACRE,2151,14,25,84,160
am,BOCA DO ACRE,2151,14,26,96,143
am,BOCA DO ACRE,2151,14,27,76,180
am,BOCA DO ACRE,2151,14,28,105,153
am,BOCA DO ACRE,2151,14,29,112,135
am,BOCA DO ACRE,2151,14,30,96,94
am,BOCA DO ACRE,2151,14,31,94,109
am,BOCA DO ACRE,2151,14,32,113,103
am,BOCA DO ACRE,2151,14,33,136,116
am,BOCA DO ACRE,2151,14,34,120,94
am,BOCA DO ACRE,2151,14,35,77,147
am,BOCA DO ACRE,2151,14,36,119,92
am,BOCA DO ACRE,2151,14,37,83,79
am,BOCA DO ACRE,2151,14,38,94,168
am,BOCA DO ACRE,2151,14,39,126,130
am,BOCA DO ACRE,2151,14,40,135,127
am,BOCA DO ACRE,2151,14,42,87,101
am,BOCA DO ACRE,2151,14,43,139,130
am,BOCA DO ACRE,2151,14,45,135,177
am,BOCA DO ACRE,2151,14,47,85,169
am,BOCA DO ACRE,2151,14,48,86,86
am,BOCA DO ACRE,2151,14,49,134,121
am,BOCA DO ACRE,2151,14,50,110,140
am,BOCA DO ACRE,2151,14,51,138,111
am,BOCA DO ACRE,2151,14,55,110,125
am,BOCA DO ACRE,2151,14,56,90,173
am,BOCA DO ACRE,2151,14,57,110,142
am,BOCA DO ACRE,2151,14,58,96,171
am,BOCA DO ACRE,2151,14,60,122,145
am,BOCA DO ACRE,2151,14,62,81,170
am,BOCA DO ACRE,2151,14,63,143,115
am,BOCA DO ACRE,2151,14,64,113,147
am,BOCA DO ACRE,2151,14,65,95,157
am,BOCA DO ACRE,2151,14,67,112,149
am,BOCA DO ACRE,2151,14,68,70,190
am,BOCA DO ACRE,2151,14,69,139,145
am,BOCA DO ACRE,2151,14,70,83,159
am,BOCA DO ACRE,2151,14,71,125,128
am,BOCA DO ACRE,2151,14,72,66,62
am,BOCA DO ACRE,2151,14,73,152,134
am,BOCA DO ACRE,2151,14,74,68,106
am,BOCA DO ACRE,2151,14,75,94,105
am,BORBA,2178,15,3,192,45
am,BORBA,2178,15,5,185,62
am,BORBA,2178,15,6,175,54
am,BORBA,2178,15,7,190,50
am,BORBA,2178,15,8,180,51
am,BORBA,2178,15,9,235,60
am,BORBA,2178,15,10,221,52
am,BORBA,2178,15,11,217,50
am,BORBA,2178,15,12,242,53
am,BORBA,2178,15,14,278,76
am,BORBA,2178,15,15,143,67
am,BORBA,2178,15,16,180,93
am,BORBA,2178,15,17,198,73
am,BORBA,2178,15,18,234,63
am,BORBA,2178,15,19,177,41
am,BORBA,2178,15,20,159,40
am,BORBA,2178,15,21,146,67
am,BORBA,2178,15,22,180,102
am,BORBA,2178,15,23,173,46
am,BORBA,2178,15,24,158,55
am,BORBA,2178,15,27,186,51
am,BORBA,2178,15,28,203,46
am,BORBA,2178,15,29,247,49
am,BORBA,2178,15,30,297,71
am,BORBA,2178,15,32,206,60
am,BORBA,2178,15,33,218,60
am,BORBA,2178,15,34,191,56
am,BORBA,2178,15,36,199,43
am,BORBA,2178,15,37,211,68
am,BORBA,2178,15,38,184,53
am,BORBA,2178,15,39,155,53
am,BORBA,2178,15,41,159,29
am,BORBA,2178,15,42,206,80
am,BORBA,2178,15,43,422,4
am,BORBA,2178,15,44,249,48
am,BORBA,2178,15,45,172,53
am,BORBA,2178,15,46,189,53
am,BORBA,2178,15,47,220,48
am,BORBA,2178,15,48,249,1
am,BORBA,2178,15,49,331,23
am,BORBA,2178,15,50,209,81
am,BORBA,2178,15,51,149,43
am,BORBA,2178,15,52,221,53
am,BORBA,2178,15,53,217,66
am,BORBA,2178,15,54,183,51
am,BORBA,2178,15,56,111,27
am,BORBA,2178,15,57,234,58
am,BORBA,2178,15,59,210,61
am,BORBA,2178,15,60,144,54
am,BORBA,2178,15,61,76,26
am,BORBA,2178,15,62,157,44
am,BORBA,2178,15,63,229,51
am,BORBA,2178,15,64,221,68
am,BORBA,2178,15,65,200,78
am,BORBA,2178,15,66,227,58
am,BORBA,2178,15,67,135,31
am,BORBA,2178,15,68,328,38
am,BORBA,2178,15,70,168,54
am,BORBA,2178,15,71,175,56
am,BORBA,2178,15,72,201,78
am,BORBA,2178,15,73,219,56
am,CANUTAMA,2194,13,1,113,111
am,CANUTAMA,2194,13,2,127,104
am,CANUTAMA,2194,13,3,118,106
am,CANUTAMA,2194,13,4,126,106
am,CANUTAMA,2194,13,5,122,82
am,CANUTAMA,2194,13,6,120,104
am,CANUTAMA,2194,13,7,109,84
am,CANUTAMA,2194,13,8,130,83
am,CANUTAMA,2194,13,22,134,87
am,CANUTAMA,2194,13,24,143,104
am,CANUTAMA,2194,13,25,99,63
am,CANUTAMA,2194,13,26,125,68
am,CANUTAMA,2194,13,27,107,90
am,CANUTAMA,2194,13,28,155,84
am,CANUTAMA,2194,13,29,126,133
